sim_id,course,cutoff_mean,cutoff_sd,strategy,description,category,param,flag,total_correct,pct_correct,estimated_score,gap,probability_pct,probability_band,Biologia_elo,Biologia_pct,Filosofia_elo,Filosofia_pct,Fisica_elo,Fisica_pct,Geografia_elo,Geografia_pct,Historia_elo,Historia_pct,Ingles_elo,Ingles_pct,Matematica_elo,Matematica_pct,Portugues_elo,Portugues_pct,Quimica_elo,Quimica_pct
1,administracao,55,2,fixed_0pct,"Acerta exatamente 0%",fixed_accuracy,0,SUSPEITO,0,0,42.2,-12.8,1,"< 3%",1129,0,1141,0,1129,0,1129,0,1141,0,1141,0,1142,0,1143,0,1140,0
2,administracao,55,2,fixed_10pct,"Acerta exatamente 10%",fixed_accuracy,10,SUSPEITO,3,10,43.5,-11.5,1,"< 3%",1129,0,1141,0,1129,0,1129,0,1171,25,1141,0,1172,25,1172,25,1140,0
3,administracao,55,2,fixed_20pct,"Acerta exatamente 20%",fixed_accuracy,20,SUSPEITO,6,20,45,-10,1,"< 3%",1172,33,1141,0,1172,33,1172,33,1171,25,1141,0,1172,25,1172,25,1140,0
4,administracao,55,2,fixed_30pct,"Acerta exatamente 30%",fixed_accuracy,30,SUSPEITO,9,30,45.9,-9.1,1.09,"< 3%",1172,33,1185,33,1172,33,1172,33,1171,25,1185,33,1172,25,1172,25,1182,33
5,administracao,55,2,fixed_40pct,"Acerta exatamente 40%",fixed_accuracy,40,OK,12,40,47.3,-7.7,2.46,"< 3%",1172,33,1185,33,1172,33,1172,33,1201,50,1185,33,1203,50,1203,50,1182,33
6,administracao,55,2,fixed_50pct,"Acerta exatamente 50%",fixed_accuracy,50,OK,15,50,48.9,-6.1,5.6,"3-10%",1218,67,1185,33,1218,67,1218,67,1201,50,1185,33,1203,50,1203,50,1182,33
7,administracao,55,2,fixed_60pct,"Acerta exatamente 60%",fixed_accuracy,60,OK,18,60,49.9,-5.1,8.81,"3-10%",1218,67,1232,67,1218,67,1218,67,1201,50,1230,67,1203,50,1203,50,1227,67
8,administracao,55,2,fixed_70pct,"Acerta exatamente 70%",fixed_accuracy,70,OK,21,70,51.3,-3.7,15.5,"10-25%",1218,67,1232,67,1218,67,1218,67,1232,75,1230,67,1234,75,1234,75,1227,67
9,administracao,55,2,fixed_80pct,"Acerta exatamente 80%",fixed_accuracy,80,OK,24,80,53,-2,27.88,"25-40%",1266,100,1232,67,1266,100,1266,100,1232,75,1230,67,1234,75,1234,75,1227,67
10,administracao,55,2,fixed_90pct,"Acerta exatamente 90%",fixed_accuracy,90,SUSPEITO,27,90,53.9,-1.1,36.69,"25-40%",1266,100,1280,100,1266,100,1266,100,1232,75,1278,100,1234,75,1234,75,1275,100
11,administracao,55,2,fixed_100pct,"Acerta exatamente 100%",fixed_accuracy,100,SUSPEITO,30,100,55.4,0.4,55.2,"55-70%",1266,100,1280,100,1266,100,1266,100,1264,100,1278,100,1266,100,1266,100,1275,100
12,administracao,55,2,pessimo_t1,"Aluno pessimo ~17% (trial 1)",realistic_profile,pessimo,SUSPEITO,3,10,43.5,-11.5,1,"< 3%",1129,0,1141,0,1172,33,1129,0,1173,25,1141,0,1174,25,1143,0,1140,0
13,administracao,55,2,pessimo_t2,"Aluno pessimo ~17% (trial 2)",realistic_profile,pessimo,SUSPEITO,5,17,44,-11,1,"< 3%",1129,0,1280,100,1129,0,1129,0,1141,0,1141,0,1174,25,1174,25,1140,0
14,administracao,55,2,pessimo_t3,"Aluno pessimo ~17% (trial 3)",realistic_profile,pessimo,SUSPEITO,6,20,44.9,-10.1,1,"< 3%",1175,33,1185,33,1129,0,1129,0,1141,0,1141,0,1203,50,1203,50,1140,0
15,administracao,55,2,pessimo_t4,"Aluno pessimo ~17% (trial 4)",realistic_profile,pessimo,SUSPEITO,5,17,44.3,-10.7,1,"< 3%",1172,33,1141,0,1129,0,1129,0,1173,25,1189,33,1142,0,1143,0,1233,67
16,administracao,55,2,fraco_t1,"Aluno fraco ~30%, forte humanas (trial 1)",realistic_profile,fraco,SUSPEITO,7,23,45.2,-9.8,1,"< 3%",1129,0,1185,33,1172,33,1177,33,1171,25,1141,0,1204,50,1143,0,1188,33
17,administracao,55,2,fraco_t2,"Aluno fraco ~30%, forte humanas (trial 2)",realistic_profile,fraco,SUSPEITO,9,30,46,-9,1.16,"< 3%",1129,0,1280,100,1129,0,1177,33,1202,50,1141,0,1174,25,1203,50,1140,0
18,administracao,55,2,fraco_t3,"Aluno fraco ~30%, forte humanas (trial 3)",realistic_profile,fraco,SUSPEITO,11,37,47.2,-7.8,2.33,"< 3%",1129,0,1185,33,1172,33,1218,67,1234,75,1185,33,1142,0,1235,75,1140,0
19,administracao,55,2,fraco_t4,"Aluno fraco ~30%, forte humanas (trial 4)",realistic_profile,fraco,SUSPEITO,9,30,45.8,-9.2,1.02,"< 3%",1129,0,1236,67,1129,0,1172,33,1171,25,1234,67,1142,0,1234,75,1140,0
20,administracao,55,2,mediano_t1,"Aluno mediano ~47% (trial 1)",realistic_profile,mediano,OK,13,43,47.7,-7.3,3.06,"3-10%",1218,67,1232,67,1175,33,1175,33,1173,25,1233,67,1174,25,1175,25,1233,67
21,administracao,55,2,mediano_t2,"Aluno mediano ~47% (trial 2)",realistic_profile,mediano,OK,16,53,49.6,-5.4,7.72,"3-10%",1223,67,1188,33,1218,67,1175,33,1233,75,1185,33,1172,25,1237,75,1233,67
22,administracao,55,2,mediano_t3,"Aluno mediano ~47% (trial 3)",realistic_profile,mediano,OK,13,43,47.9,-7.1,3.4,"3-10%",1129,0,1232,67,1223,67,1220,67,1141,0,1185,33,1235,75,1205,50,1185,33
23,administracao,55,2,mediano_t4,"Aluno mediano ~47% (trial 4)",realistic_profile,mediano,OK,17,57,49.9,-5.1,8.81,"3-10%",1177,33,1233,67,1177,33,1220,67,1234,75,1141,0,1236,75,1203,50,1275,100
24,administracao,55,2,bom_t1,"Aluno bom ~67%, fraco em 2 materias (trial 1)",realistic_profile,bom,OK,22,73,52.3,-2.7,22.16,"10-25%",1266,100,1233,67,1177,33,1266,100,1264,100,1185,33,1266,100,1266,100,1140,0
25,administracao,55,2,bom_t2,"Aluno bom ~67%, fraco em 2 materias (trial 2)",realistic_profile,bom,OK,18,60,49.7,-5.3,8.07,"3-10%",1172,33,1236,67,1177,33,1223,67,1233,75,1278,100,1234,75,1206,50,1182,33
26,administracao,55,2,bom_t3,"Aluno bom ~67%, fraco em 2 materias (trial 3)",realistic_profile,bom,OK,20,67,50.7,-4.3,12.28,"10-25%",1223,67,1280,100,1177,33,1172,33,1264,100,1234,67,1235,75,1234,75,1185,33
27,administracao,55,2,bom_t4,"Aluno bom ~67%, fraco em 2 materias (trial 4)",realistic_profile,bom,OK,21,70,51.4,-3.6,16.09,"10-25%",1223,67,1236,67,1175,33,1266,100,1234,75,1278,100,1234,75,1266,100,1140,0
28,administracao,55,2,excelente_t1,"Aluno excelente ~87% (trial 1)",realistic_profile,excelente,SUSPEITO,25,83,53.1,-1.9,28.78,"25-40%",1266,100,1280,100,1266,100,1223,67,1234,75,1278,100,1204,50,1266,100,1230,67
29,administracao,55,2,excelente_t2,"Aluno excelente ~87% (trial 2)",realistic_profile,excelente,SUSPEITO,27,90,53.9,-1.1,36.69,"25-40%",1223,67,1280,100,1266,100,1220,67,1264,100,1278,100,1266,100,1266,100,1227,67
30,administracao,55,2,excelente_t3,"Aluno excelente ~87% (trial 3)",realistic_profile,excelente,SUSPEITO,25,83,53.6,-1.4,33.56,"25-40%",1223,67,1236,67,1266,100,1266,100,1264,100,1234,67,1236,75,1266,100,1233,67
31,administracao,55,2,excelente_t4,"Aluno excelente ~87% (trial 4)",realistic_profile,excelente,SUSPEITO,27,90,53.7,-1.3,34.58,"25-40%",1266,100,1280,100,1266,100,1218,67,1264,100,1278,100,1266,100,1205,50,1275,100
32,administracao,55,2,chute_puro_t1,"Chute puro ~20% (trial 1)",edge_guess,guess,SUSPEITO,5,17,44.3,-10.7,1,"< 3%",1129,0,1188,33,1129,0,1175,33,1172,25,1141,0,1206,50,1143,0,1140,0
33,administracao,55,2,chute_puro_t2,"Chute puro ~20% (trial 2)",edge_guess,guess,SUSPEITO,8,27,45.6,-9.4,1,"< 3%",1175,33,1185,33,1172,33,1129,0,1233,75,1141,0,1205,50,1143,0,1140,0
34,administracao,55,2,chute_puro_t3,"Chute puro ~20% (trial 3)",edge_guess,guess,SUSPEITO,9,30,46.4,-8.6,1.47,"< 3%",1218,67,1141,0,1129,0,1220,67,1141,0,1186,33,1174,25,1174,25,1233,67
35,administracao,55,2,chute_puro_t4,"Chute puro ~20% (trial 4)",edge_guess,guess,SUSPEITO,5,17,44.6,-10.4,1,"< 3%",1129,0,1141,0,1218,67,1177,33,1141,0,1141,0,1172,25,1143,0,1188,33
36,administracao,55,2,chute_puro_t5,"Chute puro ~20% (trial 5)",edge_guess,guess,SUSPEITO,3,10,43.5,-11.5,1,"< 3%",1129,0,1141,0,1172,33,1129,0,1141,0,1141,0,1174,25,1143,0,1188,33
37,administracao,55,2,so_portugues,"100% Portugues, 0% resto",edge_subject,port,SUSPEITO,4,13,44.3,-10.7,1,"< 3%",1129,0,1141,0,1129,0,1129,0,1141,0,1141,0,1142,0,1266,100,1140,0
38,administracao,55,2,so_matematica,"100% Matematica, 0% resto",edge_subject,mat,SUSPEITO,4,13,43.9,-11.1,1,"< 3%",1129,0,1141,0,1129,0,1129,0,1141,0,1141,0,1266,100,1143,0,1140,0
39,administracao,55,2,acerta_faceis,"Acerta se difficulty_elo < 1200",edge_diff,1200,OK,12,40,47.4,-7.6,2.6,"< 3%",1172,33,1185,33,1172,33,1172,33,1204,50,1185,33,1203,50,1203,50,1188,33
40,administracao,55,2,acerta_dificeis,"Acerta dificeis (>1300), erra faceis",edge_diff,inverse,OK,13,43,48.1,-6.9,3.77,"3-10%",1129,0,1189,33,1223,67,1223,67,1201,50,1186,33,1205,50,1206,50,1182,33
41,administracao,55,2,fadiga,"Comeca 90% termina 20%",edge_temporal,fatigue,OK,17,57,49.6,-5.4,7.72,"3-10%",1218,67,1185,33,1172,33,1218,67,1232,75,1230,67,1205,50,1205,50,1230,67
42,administracao,55,2,aquecimento,"Comeca 20% termina 90%",edge_temporal,warmup,OK,17,57,49.9,-5.1,8.81,"3-10%",1266,100,1236,67,1220,67,1177,33,1234,75,1186,33,1204,50,1206,50,1188,33
43,administracao,55,2,alternado,"Acerta/erra intercalado 50%",edge_pattern,alt,OK,15,50,48.8,-6.2,5.33,"3-10%",1220,67,1233,67,1175,33,1175,33,1202,50,1186,33,1205,50,1203,50,1230,67
44,administracao,55,2,elo_800,"Aluno Elo real 800",elo_realistic,800,SUSPEITO,7,23,45.5,-9.5,1,"< 3%",1129,0,1141,0,1172,33,1172,33,1204,50,1141,0,1203,50,1174,25,1140,0
45,administracao,55,2,elo_900,"Aluno Elo real 900",elo_realistic,900,SUSPEITO,2,7,42.9,-12.1,1,"< 3%",1172,33,1141,0,1129,0,1129,0,1141,0,1185,33,1142,0,1143,0,1140,0
46,administracao,55,2,elo_1000,"Aluno Elo real 1000",elo_realistic,1000,SUSPEITO,9,30,46.2,-8.8,1.31,"< 3%",1218,67,1185,33,1172,33,1172,33,1172,25,1189,33,1174,25,1174,25,1140,0
47,administracao,55,2,elo_1100,"Aluno Elo real 1100",elo_realistic,1100,SUSPEITO,8,27,45.9,-9.1,1.09,"< 3%",1172,33,1185,33,1129,0,1218,67,1203,50,1141,0,1174,25,1172,25,1140,0
48,administracao,55,2,elo_1200,"Aluno Elo real 1200",elo_realistic,1200,OK,16,53,49.4,-5.6,7.06,"3-10%",1266,100,1232,67,1172,33,1218,67,1203,50,1185,33,1204,50,1203,50,1188,33
