sim_id,strategy,description,category,param,fallback,total_correct,total_questions,pct_correct,estimated_score,cutoff_mean,cutoff_sd,gap,probability_pct,probability_band,probability_label,subjects_covered,priority_count,Biologia_elo,Biologia_correct,Biologia_total,Biologia_pct,Biologia_level,Filosofia_elo,Filosofia_correct,Filosofia_total,Filosofia_pct,Filosofia_level,Física_elo,Física_correct,Física_total,Física_pct,Física_level,Geografia_elo,Geografia_correct,Geografia_total,Geografia_pct,Geografia_level,História_elo,História_correct,História_total,História_pct,História_level,Inglês_elo,Inglês_correct,Inglês_total,Inglês_pct,Inglês_level,Matemática_elo,Matemática_correct,Matemática_total,Matemática_pct,Matemática_level,Português_elo,Português_correct,Português_total,Português_pct,Português_level,Química_elo,Química_correct,Química_total,Química_pct,Química_level
1,fixed_0pct,"Acerta exatamente 0% (sequencial)",fixed_accuracy,0,true,0,30,0,93.8,65,8,28.8,98,> 70%,"Excelente posição",9,9,1129,0,3,0,Baixo,1140,0,3,0,Baixo,1126,0,3,0,Baixo,1129,0,3,0,Baixo,1143,0,4,0,Baixo,1140,0,3,0,Baixo,1142,0,4,0,Baixo,1143,0,4,0,Baixo,1140,0,3,0,Baixo
2,fixed_10pct,"Acerta exatamente 10% (sequencial)",fixed_accuracy,10,true,3,30,10,97.5,65,8,32.5,98,> 70%,"Excelente posição",9,9,1129,0,3,0,Baixo,1140,0,3,0,Baixo,1126,0,3,0,Baixo,1129,0,3,0,Baixo,1171,1,4,25,Baixo,1141,0,3,0,Baixo,1172,1,4,25,Baixo,1172,1,4,25,Baixo,1141,0,3,0,Baixo
3,fixed_20pct,"Acerta exatamente 20% (sequencial)",fixed_accuracy,20,true,6,30,20,99.9,65,8,34.9,98,> 70%,"Excelente posição",9,9,1172,1,3,33,Baixo,1140,0,3,0,Baixo,1172,1,3,33,Baixo,1172,1,3,33,Baixo,1171,1,4,25,Baixo,1141,0,3,0,Baixo,1172,1,4,25,Baixo,1171,1,4,25,Baixo,1140,0,3,0,Baixo
4,fixed_30pct,"Acerta exatamente 30% (sequencial)",fixed_accuracy,30,true,9,30,30,101.7,65,8,36.7,98,> 70%,"Excelente posição",9,9,1172,1,3,33,Baixo,1185,1,3,33,Baixo,1169,1,3,33,Baixo,1172,1,3,33,Baixo,1171,1,4,25,Baixo,1182,1,3,33,Baixo,1172,1,4,25,Baixo,1171,1,4,25,Baixo,1185,1,3,33,Baixo
5,fixed_40pct,"Acerta exatamente 40% (sequencial)",fixed_accuracy,40,true,12,30,40,105.4,65,8,40.4,98,> 70%,"Excelente posição",9,6,1172,1,3,33,Baixo,1182,1,3,33,Baixo,1170,1,3,33,Baixo,1172,1,3,33,Baixo,1203,2,4,50,Intermediário,1182,1,3,33,Baixo,1203,2,4,50,Intermediário,1200,2,4,50,Intermediário,1185,1,3,33,Baixo
6,fixed_50pct,"Acerta exatamente 50% (sequencial)",fixed_accuracy,50,true,15,30,50,107.7,65,8,42.7,98,> 70%,"Excelente posição",9,3,1215,2,3,67,Intermediário,1185,1,3,33,Baixo,1218,2,3,67,Intermediário,1215,2,3,67,Intermediário,1202,2,4,50,Intermediário,1182,1,3,33,Baixo,1200,2,4,50,Intermediário,1201,2,4,50,Intermediário,1182,1,3,33,Baixo
7,fixed_60pct,"Acerta exatamente 60% (sequencial)",fixed_accuracy,60,true,18,30,60,109.7,65,8,44.7,98,> 70%,"Excelente posição",9,0,1218,2,3,67,Intermediário,1232,2,3,67,Intermediário,1218,2,3,67,Intermediário,1215,2,3,67,Intermediário,1203,2,4,50,Intermediário,1232,2,3,67,Intermediário,1202,2,4,50,Intermediário,1200,2,4,50,Intermediário,1227,2,3,67,Intermediário
8,fixed_70pct,"Acerta exatamente 70% (sequencial)",fixed_accuracy,70,true,21,30,70,113.3,65,8,48.3,98,> 70%,"Excelente posição",9,0,1216,2,3,67,Intermediário,1230,2,3,67,Intermediário,1215,2,3,67,Intermediário,1215,2,3,67,Intermediário,1232,3,4,75,Intermediário,1232,2,3,67,Intermediário,1232,3,4,75,Intermediário,1232,3,4,75,Intermediário,1230,2,3,67,Intermediário
9,fixed_80pct,"Acerta exatamente 80% (sequencial)",fixed_accuracy,80,true,24,30,80,116.1,65,8,51.1,98,> 70%,"Excelente posição",9,0,1263,3,3,100,Intermediário,1230,2,3,67,Intermediário,1266,3,3,100,Intermediário,1265,3,3,100,Intermediário,1233,3,4,75,Intermediário,1232,2,3,67,Intermediário,1234,3,4,75,Intermediário,1233,3,4,75,Intermediário,1227,2,3,67,Intermediário
10,fixed_90pct,"Acerta exatamente 90% (sequencial)",fixed_accuracy,90,true,27,30,90,117.9,65,8,52.9,98,> 70%,"Excelente posição",9,0,1266,3,3,100,Intermediário,1280,3,3,100,Intermediário,1265,3,3,100,Intermediário,1263,3,3,100,Intermediário,1234,3,4,75,Intermediário,1280,3,3,100,Intermediário,1232,3,4,75,Intermediário,1233,3,4,75,Intermediário,1280,3,3,100,Intermediário
